observed_on,url,image_url,latitude,longitude,positional_accuracy,public_positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
2023-04-30,https://www.inaturalist.org/observations/158039954,https://inaturalist-open-data.s3.amazonaws.com/photos/273178786/medium.jpeg,38.9080305,-77.1162906,34,34,eastern poison ivy,Toxicodendron radicans,eastern poison ivy,Plantae,58732
2023-04-30,https://www.inaturalist.org/observations/158039999,https://inaturalist-open-data.s3.amazonaws.com/photos/273178895/medium.jpeg,38.90838906,-77.11660051,7,7,mock strawberry,Potentilla indica,mock strawberry,Plantae,243824
2023-04-30,https://www.inaturalist.org/observations/158040041,https://inaturalist-open-data.s3.amazonaws.com/photos/273178942/medium.jpeg,38.9080786,-77.1162829,25,25,Japanese honeysuckle,Lonicera japonica,Japanese honeysuckle,Plantae,77835
2023-04-30,https://www.inaturalist.org/observations/158040080,https://inaturalist-open-data.s3.amazonaws.com/photos/273179002/medium.jpeg,38.9079944,-77.1162338,23,23,lesser celandine,Ficaria verna,lesser celandine,Plantae,204321
2023-04-30,https://www.inaturalist.org/observations/158040115,https://inaturalist-open-data.s3.amazonaws.com/photos/273179033/medium.jpeg,38.90833383,-77.11654738,9,9,lesser periwinkle,Vinca minor,lesser periwinkle,Plantae,55844
2023-04-30,https://www.inaturalist.org/observations/158040197,https://inaturalist-open-data.s3.amazonaws.com/photos/273179172/medium.jpeg,38.9092747,-77.1158468,31,31,American hornbeam,Carpinus caroliniana,American hornbeam,Plantae,54768
2023-04-30,https://www.inaturalist.org/observations/158040309,https://inaturalist-open-data.s3.amazonaws.com/photos/273179380/medium.jpeg,38.90915947,-77.11519983,9,9,eastern redbud,Cercis canadensis,eastern redbud,Plantae,48502
2023-04-30,https://www.inaturalist.org/observations/158040400,https://inaturalist-open-data.s3.amazonaws.com/photos/273179506/medium.jpeg,38.9091699,-77.1157017,44,44,white clover,Trifolium repens,white clover,Plantae,55745
2023-04-30,https://www.inaturalist.org/observations/158040477,https://inaturalist-open-data.s3.amazonaws.com/photos/273179647/medium.jpeg,38.91040521,-77.11381318,6,6,American sycamore,Platanus occidentalis,American sycamore,Plantae,49662
2023-04-30,https://www.inaturalist.org/observations/158040567,https://static.inaturalist.org/photos/273179885/medium.jpg,41.6321064629,-70.5560713408,4,4,bearberry,Arctostaphylos uva-ursi,bearberry,Plantae,68049
2023-04-30,https://www.inaturalist.org/observations/158040939,https://static.inaturalist.org/photos/273180540/medium.jpeg,30.7749220815,-91.3789555058,43,43,American pokeweed,Phytolacca americana,American pokeweed,Plantae,48599
2023-04-30,https://www.inaturalist.org/observations/158041111,https://static.inaturalist.org/photos/273180848/medium.jpeg,44.3422423859,-79.7361888909,4,4,yellow birch,Betula alleghaniensis,yellow birch,Plantae,49882
2023-04-30,https://www.inaturalist.org/observations/158041234,https://inaturalist-open-data.s3.amazonaws.com/photos/273181122/medium.jpg,40.8926968202,-73.8896029722,243,243,tulip tree,Liriodendron tulipifera,tulip tree,Plantae,53582
2023-04-30,https://www.inaturalist.org/observations/158041839,https://inaturalist-open-data.s3.amazonaws.com/photos/273196608/medium.jpg,42.1137783694,-80.1461533121,4,4,early meadow-rue,Thalictrum dioicum,early meadow-rue,Plantae,81748
2023-04-30,https://www.inaturalist.org/observations/158042045,https://inaturalist-open-data.s3.amazonaws.com/photos/273182431/medium.jpg,40.8930999129,-73.8894073424,35,35,Götterbaum,Ailanthus altissima,tree-of-heaven,Plantae,57278
2023-04-30,https://www.inaturalist.org/observations/158042296,https://inaturalist-open-data.s3.amazonaws.com/photos/273183018/medium.jpg,42.1032446484,-72.1574026533,4,4,alternate-leaved dogwood,Cornus alternifolia,alternate-leaved dogwood,Plantae,54775
2023-04-30,https://www.inaturalist.org/observations/158042323,https://static.inaturalist.org/photos/273182921/medium.jpeg,44.342200857,-79.7363269626,4,4,dwarf horsetail,Equisetum scirpoides,dwarf horsetail,Plantae,162373
2023-04-30,https://www.inaturalist.org/observations/158042340,https://static.inaturalist.org/photos/273182954/medium.jpg,41.850328683,-87.9893711955,3,3,Field Pussytoes,Antennaria neglecta,Field Pussytoes,Plantae,127005
2023-04-30,https://www.inaturalist.org/observations/158042368,https://inaturalist-open-data.s3.amazonaws.com/photos/273183016/medium.jpg,40.8932449462,-73.8893730609,356,356,tulip tree,Liriodendron tulipifera,tulip tree,Plantae,53582
2023-04-30,https://www.inaturalist.org/observations/158042482,https://inaturalist-open-data.s3.amazonaws.com/photos/273183273/medium.jpg,42.1031650594,-72.1573619601,4,4,Solomon's plume,Maianthemum racemosum,Solomon's plume,Plantae,51062
2023-04-30,https://www.inaturalist.org/observations/158042685,https://inaturalist-open-data.s3.amazonaws.com/photos/273183681/medium.jpg,42.1031802776,-72.1574200563,4,4,red columbine,Aquilegia canadensis,red columbine,Plantae,49868
2023-04-30,https://www.inaturalist.org/observations/158042798,https://inaturalist-open-data.s3.amazonaws.com/photos/273183982/medium.jpg,42.1031916918,-72.1575172684,4,4,Jack-in-the-Pulpit,Arisaema triphyllum,Jack-in-the-Pulpit,Plantae,50310
2023-04-30,https://www.inaturalist.org/observations/158042811,https://inaturalist-open-data.s3.amazonaws.com/photos/277169957/medium.jpeg,39.85590448,-86.30020376,12,12,Amur honeysuckle,Lonicera maackii,Amur honeysuckle,Plantae,82342
2023-04-30,https://www.inaturalist.org/observations/158042983,https://inaturalist-open-data.s3.amazonaws.com/photos/273184192/medium.jpg,42.1031464255,-72.157410817,4,4,mapleleaf viburnum,Viburnum acerifolium,mapleleaf viburnum,Plantae,62997
2023-04-30,https://www.inaturalist.org/observations/158043061,https://static.inaturalist.org/photos/273184325/medium.jpg,41.8495554943,-87.9887714703,6,6,cutleaf teasel,Dipsacus laciniatus,cutleaf teasel,Plantae,117438
2023-04-30,https://www.inaturalist.org/observations/158043241,https://inaturalist-open-data.s3.amazonaws.com/photos/273184600/medium.jpg,42.103215534,-72.1574893711,4,4,American hophornbeam,Ostrya virginiana,American hophornbeam,Plantae,54771
2023-04-30,https://www.inaturalist.org/observations/158043498,https://inaturalist-open-data.s3.amazonaws.com/photos/273184866/medium.jpg,42.1033626339,-72.1575773975,4,4,Virginia strawberry,Fragaria virginiana,Virginia strawberry,Plantae,77155
2023-04-30,https://www.inaturalist.org/observations/158043835,https://inaturalist-open-data.s3.amazonaws.com/photos/273185492/medium.jpg,42.1034544089,-72.1573241061,4,4,white meadowsweet,Spiraea alba,white meadowsweet,Plantae,126823
2023-04-30,https://www.inaturalist.org/observations/158043869,https://static.inaturalist.org/photos/273186200/medium.jpg,40.893166177,-73.9165626281,9,9,Розовик лазающий,Rhodotypos scandens,jetbead,Plantae,127609
2023-04-30,https://www.inaturalist.org/observations/158043920,https://inaturalist-open-data.s3.amazonaws.com/photos/273185588/medium.jpg,25.104516903,-80.4356016499,4,4,sea ox-eye,Borrichia frutescens,sea ox-eye,Plantae,127270
2023-04-30,https://www.inaturalist.org/observations/158043948,https://inaturalist-open-data.s3.amazonaws.com/photos/273185640/medium.jpg,40.8934012611,-73.8892186761,18,18,silver maple,Acer saccharinum,silver maple,Plantae,54762
2023-04-30,https://www.inaturalist.org/observations/158043995,https://inaturalist-open-data.s3.amazonaws.com/photos/273185831/medium.jpg,29.6690356141,-82.3972186755,8,8,Coral Bean,Erythrina herbacea,Coral Bean,Plantae,128717
2023-04-30,https://www.inaturalist.org/observations/158044004,https://static.inaturalist.org/photos/273185748/medium.jpg,40.893518636,-73.9164420963,4,4,lesser periwinkle,Vinca minor,lesser periwinkle,Plantae,55844
2023-04-30,https://www.inaturalist.org/observations/158044676,https://inaturalist-open-data.s3.amazonaws.com/photos/273186664/medium.jpeg,38.4889583333,-76.4975861111,,,common ivy,Hedera helix,common ivy,Plantae,55882
2023-04-30,https://www.inaturalist.org/observations/158044702,https://inaturalist-open-data.s3.amazonaws.com/photos/273186711/medium.jpg,25.1047558291,-80.4355044198,6,6,black mangrove,Avicennia germinans,black mangrove,Plantae,62853
2023-04-30,https://www.inaturalist.org/observations/158045108,https://static.inaturalist.org/photos/273187441/medium.jpg,40.8940098994,-73.9162332193,9,9,Amur honeysuckle,Lonicera maackii,Amur honeysuckle,Plantae,82342
2023-04-30,https://www.inaturalist.org/observations/158045158,https://inaturalist-open-data.s3.amazonaws.com/photos/273187595/medium.jpeg,25.9908447266,-81.5917816162,35,35,Monk Orchid,Eulophia maculata,Monk Orchid,Plantae,1453469
2023-04-30,https://www.inaturalist.org/observations/158045680,https://inaturalist-open-data.s3.amazonaws.com/photos/273188351/medium.jpg,20.6357877972,-87.0608963553,16,16,Bejuco de mar,Ipomoea pes-caprae,Beach Morning Glory,Plantae,60879
2023-04-30,https://www.inaturalist.org/observations/158045997,https://inaturalist-open-data.s3.amazonaws.com/photos/273188866/medium.jpg,40.894165407,-73.8887497885,7,7,Amur honeysuckle,Lonicera maackii,Amur honeysuckle,Plantae,82342
2023-04-30,https://www.inaturalist.org/observations/158046056,https://inaturalist-open-data.s3.amazonaws.com/photos/273289995/medium.jpg,42.7164833214,-89.0721906076,130,130,Eastern Skunk Cabbage,Symplocarpus foetidus,Eastern Skunk Cabbage,Plantae,48961
2023-04-30,https://www.inaturalist.org/observations/158046073,https://inaturalist-open-data.s3.amazonaws.com/photos/273188972/medium.jpg,40.8942167032,-73.8887998157,11,11,wineberry,Rubus phoenicolasius,wineberry,Plantae,84227
2023-04-30,https://www.inaturalist.org/observations/158046223,https://inaturalist-open-data.s3.amazonaws.com/photos/273189305/medium.jpeg,41.8374328613,-73.7458343506,40,40,Greater celandine,Chelidonium majus,Greater celandine,Plantae,55757
2023-04-30,https://www.inaturalist.org/observations/158046224,https://inaturalist-open-data.s3.amazonaws.com/photos/273189234/medium.jpg,25.7104609022,-80.4160639365,4,4,sea grape,Coccoloba uvifera,sea grape,Plantae,127284
2023-04-30,https://www.inaturalist.org/observations/158046310,https://inaturalist-open-data.s3.amazonaws.com/photos/273189352/medium.jpg,40.8942133079,-73.8887685716,12,12,flowering dogwood,Cornus florida,flowering dogwood,Plantae,54777
2023-04-30,https://www.inaturalist.org/observations/158046439,https://inaturalist-open-data.s3.amazonaws.com/photos/273189514/medium.jpg,40.8942898714,-73.8887349807,8,8,tree-of-heaven,Ailanthus altissima,tree-of-heaven,Plantae,57278
2023-04-30,https://www.inaturalist.org/observations/158046568,https://inaturalist-open-data.s3.amazonaws.com/photos/273189700/medium.jpg,40.8942599098,-73.8886649092,42,42,northern spicebush,Lindera benzoin,northern spicebush,Plantae,54793
2023-04-30,https://www.inaturalist.org/observations/158046703,https://inaturalist-open-data.s3.amazonaws.com/photos/273189946/medium.jpg,40.8942415239,-73.8886660715,8,8,multiflora rose,Rosa multiflora,multiflora rose,Plantae,78882
2023-04-30,https://www.inaturalist.org/observations/158046735,https://inaturalist-open-data.s3.amazonaws.com/photos/273191129/medium.jpg,25.7102552941,-80.4160388746,8,8,Beach Sheoak,Casuarina equisetifolia,Beach Sheoak,Plantae,62888
2023-04-30,https://www.inaturalist.org/observations/158046807,https://inaturalist-open-data.s3.amazonaws.com/photos/273195877/medium.jpg,42.1135503013,-80.1464775813,4,4,Jack-in-the-Pulpit,Arisaema triphyllum,Jack-in-the-Pulpit,Plantae,50310
2023-04-30,https://www.inaturalist.org/observations/158046882,https://inaturalist-open-data.s3.amazonaws.com/photos/273190830/medium.jpg,25.1048175618,-80.435480699,4,4,White Mangrove,Laguncularia racemosa,White Mangrove,Plantae,62854
2023-04-30,https://www.inaturalist.org/observations/158047137,https://inaturalist-open-data.s3.amazonaws.com/photos/273190753/medium.jpg,40.8940669265,-73.8890671417,35,35,lesser celandine,Ficaria verna,lesser celandine,Plantae,204321
2023-04-30,https://www.inaturalist.org/observations/158047254,https://inaturalist-open-data.s3.amazonaws.com/photos/273190981/medium.jpg,25.1048093057,-80.4354776815,9,9,Green Buttonwood,Conocarpus erectus,Green Buttonwood,Plantae,62850
2023-04-30,https://www.inaturalist.org/observations/158047452,https://inaturalist-open-data.s3.amazonaws.com/photos/273191228/medium.jpg,25.7099160785,-80.4162497633,5,5,turkey tangle frogfruit,Phyla nodiflora,turkey tangle frogfruit,Plantae,59040
2023-04-30,https://www.inaturalist.org/observations/158047491,https://inaturalist-open-data.s3.amazonaws.com/photos/273191291/medium.jpg,40.89406716,-73.8893655686,43,43,Blackhaw,Viburnum prunifolium,Blackhaw,Plantae,129977
2023-04-30,https://www.inaturalist.org/observations/158047576,https://inaturalist-open-data.s3.amazonaws.com/photos/273191400/medium.jpeg,41.34192623,-85.40261814,7,7,Чесночница черешчатая,Alliaria petiolata,garlic mustard,Plantae,56061
2023-04-30,https://www.inaturalist.org/observations/158047720,https://inaturalist-open-data.s3.amazonaws.com/photos/273191604/medium.jpg,40.8942080836,-73.8892289678,126,126,southern arrowwood,Viburnum dentatum,southern arrowwood,Plantae,82247
2023-04-30,https://www.inaturalist.org/observations/158047798,https://inaturalist-open-data.s3.amazonaws.com/photos/273191775/medium.jpg,40.8942619606,-73.8892626576,11,11,common ivy,Hedera helix,common ivy,Plantae,55882
2023-04-30,https://www.inaturalist.org/observations/158047869,https://inaturalist-open-data.s3.amazonaws.com/photos/273191907/medium.jpg,40.8942903566,-73.8892694136,8,8,Japanese barberry,Berberis thunbergii,Japanese barberry,Plantae,58727
2023-04-30,https://www.inaturalist.org/observations/158048030,https://inaturalist-open-data.s3.amazonaws.com/photos/273192173/medium.jpg,44.2349438226,-72.8023052314,120,120,cut-leaved toothwort,Cardamine concatenata,cut-leaved toothwort,Plantae,60438
2023-04-30,https://www.inaturalist.org/observations/158048038,https://inaturalist-open-data.s3.amazonaws.com/photos/273192156/medium.jpg,40.8942731703,-73.8892699057,76,76,sensitive fern,Onoclea sensibilis,sensitive fern,Plantae,82576
2023-04-30,https://www.inaturalist.org/observations/158048097,https://inaturalist-open-data.s3.amazonaws.com/photos/273192263/medium.jpg,40.8943322839,-73.8893156893,21,21,Blackhaw,Viburnum prunifolium,Blackhaw,Plantae,129977
2023-04-30,https://www.inaturalist.org/observations/158048370,https://inaturalist-open-data.s3.amazonaws.com/photos/273192568/medium.jpg,40.8943374417,-73.8893427814,9,9,Blackhaw,Viburnum prunifolium,Blackhaw,Plantae,129977
2023-04-30,https://www.inaturalist.org/observations/158048525,https://inaturalist-open-data.s3.amazonaws.com/photos/273192767/medium.jpg,40.8943842585,-73.8895416345,144,144,Japanese honeysuckle,Lonicera japonica,Japanese honeysuckle,Plantae,77835
2023-04-30,https://www.inaturalist.org/observations/158048537,https://inaturalist-open-data.s3.amazonaws.com/photos/273192964/medium.jpeg,41.8359069824,-73.7460327148,398,398,Purpurrote Taubnessel,Lamium purpureum,red deadnettle,Plantae,55851
2023-04-30,https://www.inaturalist.org/observations/158048545,https://static.inaturalist.org/photos/273192795/medium.jpg,40.8956003236,-73.9155365155,4,4,common mugwort,Artemisia vulgaris,common mugwort,Plantae,52856
2023-04-30,https://www.inaturalist.org/observations/158048553,https://static.inaturalist.org/photos/273192894/medium.jpg,39.6493334831,-76.6993934571,8,8,bulbous buttercup,Ranunculus bulbosus,bulbous buttercup,Plantae,78820
2023-04-30,https://www.inaturalist.org/observations/158048576,https://static.inaturalist.org/photos/273192849/medium.jpg,40.8948971238,-73.911441872,3,3,Spanish Bluebell,Hyacinthoides hispanica,Spanish Bluebell,Plantae,57635
2023-04-30,https://www.inaturalist.org/observations/158048681,https://static.inaturalist.org/photos/273193061/medium.jpg,32.9754045678,-97.1106529657,4,4,Alfalfa,Medicago sativa,Alfalfa,Plantae,57057
2023-04-30,https://www.inaturalist.org/observations/158048858,https://inaturalist-open-data.s3.amazonaws.com/photos/273193187/medium.jpeg,32.9905929565,-96.634437561,34,34,Fineleaf Four-nerved Daisy,Tetraneuris linearifolia,Fineleaf Four-nerved Daisy,Plantae,169627
2023-04-30,https://www.inaturalist.org/observations/158049145,https://inaturalist-open-data.s3.amazonaws.com/photos/273193454/medium.jpeg,32.9904327393,-96.6337280273,22,22,Drummond's skullcap,Scutellaria drummondii,Drummond's skullcap,Plantae,168710
2023-04-30,https://www.inaturalist.org/observations/158049325,https://inaturalist-open-data.s3.amazonaws.com/photos/273193647/medium.jpg,25.104542803,-80.4354037531,6,6,sea grape,Coccoloba uvifera,sea grape,Plantae,127284
2023-04-30,https://www.inaturalist.org/observations/158049363,https://inaturalist-open-data.s3.amazonaws.com/photos/273193716/medium.jpeg,32.990322113,-96.6339492798,40,40,Sweet scabious,Sixalix atropurpurea,Sweet scabious,Plantae,372376
2023-04-30,https://www.inaturalist.org/observations/158049472,https://inaturalist-open-data.s3.amazonaws.com/photos/273193881/medium.jpg,40.8944838212,-73.8897492199,11,11,wineberry,Rubus phoenicolasius,wineberry,Plantae,84227
2023-04-30,https://www.inaturalist.org/observations/158049484,https://static.inaturalist.org/photos/273193878/medium.jpg,32.9753824592,-97.1110500648,12,12,Texas bluebonnet,Lupinus texensis,Texas bluebonnet,Plantae,49564
